,department,course_num,sec_num,num_of_students,avg_gpa,A,AB,B,BC,C,D,F,S
0,A A E,215,1,63,3.302,41.3,22.2,12.7,12.7,7.9,1.6,1.6,.
1,A A E,246,1,74,3.473,44.6,18.9,28.4,1.4,4.1,1.4,.,.
4,A A E,322,1,39,3.051,30.8,17.9,20.5,12.8,10.3,5.1,2.6,.
5,A A E,323,1,15,3.462,26.7,26.7,33.3,.,.,.,.,6.7
6,A A E,343,1,10,3.361,20.0,50.0,10.0,20.0,.,.,.,.
7,A A E,350,1,97,3.620,47.4,35.1,12.4,3.1,.,1.0,.,.
9,A A E,374,1,16,3.125,31.3,31.3,6.3,18.8,6.3,.,6.3,.
10,A A E,375,1,17,3.267,5.9,52.9,17.6,5.9,5.9,.,.,11.8
12,A A E,419,1,34,3.471,29.4,44.1,20.6,2.9,2.9,.,.,.
13,A A E,474,1,14,3.393,57.1,14.3,14.3,7.1,.,.,7.1,.
15,A A E,500,1,22,4.000,100.0,.,.,.,.,.,.,.
17,A A E,531,1,11,3.545,27.3,63.6,.,9.1,.,.,.,.
18,A A E,637,1,18,3.813,61.1,22.2,5.6,.,.,.,.,5.6
19,A A E,641,1,19,3.842,84.2,5.3,5.3,5.3,.,.,.,.
20,A A E,642,1,11,3.500,27.3,45.5,9.1,9.1,.,.,.,.
1,A F AERO,102,002,10,3.850,80.0,10.0,10.0,.,.,.,.,.
4,A F AERO,202,002,8,3.875,75.0,25.0,.,.,.,.,.,.
6,A F AERO,302,001,17,4.000,100.0,.,.,.,.,.,.,.
7,A F AERO,402,001,14,4.000,100.0,.,.,.,.,.,.,.
0,ACCT I S,100,001,32,2.919,18.8,9.4,34.4,12.5,18.8,3.1,.,3.1
1,ACCT I S,100,002,34,3.029,26.5,8.8,23.5,26.5,14.7,.,.,.
2,ACCT I S,100,003,35,3.171,25.7,22.9,20.0,22.9,8.6,.,.,.
3,ACCT I S,100,004,33,3.197,30.3,9.1,42.4,6.1,12.1,.,.,.
4,ACCT I S,100,005,36,2.819,13.9,13.9,22.2,27.8,19.4,2.8,.,.
5,ACCT I S,100,006,34,3.044,20.6,23.5,17.6,20.6,17.6,.,.,.
6,ACCT I S,100,007,32,2.797,15.6,15.6,21.9,18.8,21.9,6.3,.,.
7,ACCT I S,100,008,38,2.961,15.8,18.4,28.9,26.3,5.3,5.3,.,.
8,ACCT I S,100,009,36,3.028,22.2,19.4,22.2,13.9,22.2,.,.,.
9,ACCT I S,100,010,37,3.122,24.3,10.8,40.5,13.5,10.8,.,.,.
10,ACCT I S,100,011,31,3.065,12.9,22.6,35.5,22.6,6.5,.,.,.
11,ACCT I S,100,012,34,2.824,17.6,17.6,26.5,5.9,26.5,2.9,2.9,.
13,ACCT I S,211,001,34,2.779,20.6,8.8,29.4,11.8,20.6,5.9,2.9,.
14,ACCT I S,211,002,33,2.864,15.2,6.1,48.5,15.2,6.1,9.1,.,.
15,ACCT I S,211,003,35,3.057,20.0,5.7,51.4,11.4,11.4,.,.,.
16,ACCT I S,211,004,30,3.117,26.7,13.3,33.3,10.0,16.7,.,.,.
17,ACCT I S,211,005,39,2.795,20.5,10.3,28.2,10.3,23.1,5.1,2.6,.
18,ACCT I S,211,006,38,3.118,23.7,18.4,31.6,10.5,15.8,.,.,.
19,ACCT I S,211,007,31,3.274,25.8,12.9,51.6,9.7,.,.,.,.
20,ACCT I S,211,008,27,2.981,18.5,11.1,44.4,14.8,7.4,.,3.7,.
21,ACCT I S,211,009,38,2.974,18.4,2.6,50.0,13.2,15.8,.,.,.
22,ACCT I S,211,010,31,2.742,16.1,.,38.7,12.9,29.0,3.2,.,.
23,ACCT I S,211,011,33,2.894,15.2,6.1,48.5,15.2,12.1,.,3.0,.
