,department,course_num,sec_num,num_of_students,avg_gpa,A,AB,B,BC,C,D,F,S
0,A A E,215,001,73,3.007,23.3,19.2,28.8,9.6,12.3,5.5,1.4,.
1,A A E,244,001,48,3.448,60.4,4.2,18.8,6.3,8.3,.,2.1,.
2,A A E,267,001,30,3.900,86.7,6.7,6.7,.,.,.,.,.
4,A A E,319,001,45,3.211,17.8,35.6,26.7,11.1,8.9,.,.,.
5,A A E,320,001,31,3.081,25.8,19.4,22.6,9.7,22.6,.,.,.
6,A A E,335,001,95,3.600,56.8,29.5,5.3,2.1,3.2,2.1,1.1,.
7,A A E,352,001,90,3.139,30.0,20.0,21.1,14.4,11.1,2.2,1.1,.
8,A A E,373,001,21,3.444,33.3,14.3,33.3,4.8,.,.,.,4.8
9,A A E,375,003,13,4.000,92.3,.,.,.,.,.,.,7.7
11,A A E,421,001,23,3.261,39.1,21.7,13.0,4.3,21.7,.,.,.
12,A A E,422,001,20,2.675,10.0,10.0,30.0,25.0,15.0,10.0,.,.
13,A A E,531,001,16,3.433,37.5,25.0,12.5,18.8,.,.,.,.
14,A A E,635,001,22,3.250,22.7,27.3,27.3,22.7,.,.,.,.
15,A A E,636,001,32,3.484,40.6,15.6,37.5,3.1,.,.,.,3.1
0,A F AERO,101,001,14,3.786,64.3,28.6,7.1,.,.,.,.,.
1,A F AERO,101,002,12,3.625,58.3,25.0,8.3,.,8.3,.,.,.
4,A F AERO,201,002,9,3.944,88.9,11.1,.,.,.,.,.,.
6,A F AERO,301,001,8,3.875,87.5,.,12.5,.,.,.,.,.
7,A F AERO,401,001,14,4.000,100.0,.,.,.,.,.,.,.
0,ACCT I S,100,001,28,2.875,21.4,3.6,32.1,14.3,28.6,.,.,.
1,ACCT I S,100,002,34,3.235,44.1,8.8,17.6,8.8,20.6,.,.,.
2,ACCT I S,100,003,35,3.129,25.7,20.0,28.6,5.7,20.0,.,.,.
3,ACCT I S,100,004,34,3.147,26.5,17.6,26.5,17.6,11.8,.,.,.
