,department,course_num,sec_num,num_of_students,avg_gpa,A,AB,B,BC,C,D,F,S
0,A A E,215,001,55,3.182,18.2,32.7,27.3,10.9,10.9,.,.,.
1,A A E,246,001,62,3.608,58.1,16.1,17.7,1.6,1.6,.,1.6,1.6
3,A A E,322,001,38,2.842,26.3,13.2,15.8,18.4,18.4,2.6,5.3,.
4,A A E,323,001,18,3.563,38.9,22.2,27.8,.,.,.,.,11.1
5,A A E,343,001,12,2.958,16.7,33.3,8.3,25.0,8.3,8.3,.,.
6,A A E,350,001,78,3.526,37.2,42.3,11.5,5.1,1.3,1.3,.,.
8,A A E,374,001,22,3.295,31.8,31.8,27.3,.,4.5,.,4.5,.
14,A A E,419,001,42,3.476,38.1,40.5,14.3,2.4,2.4,.,2.4,.
15,A A E,462,001,14,3.179,42.9,7.1,21.4,14.3,7.1,7.1,.,.
16,A A E,474,001,21,3.800,71.4,14.3,4.8,4.8,.,.,.,.
17,A A E,477,001,11,3.864,72.7,27.3,.,.,.,.,.,.
18,A A E,500,001,40,3.900,97.5,.,.,.,.,.,2.5,.
19,A A E,520,001,8,3.688,50.0,37.5,12.5,.,.,.,.,.
20,A A E,637,001,31,3.550,45.2,22.6,22.6,6.5,.,.,.,3.2
21,A A E,642,001,7,4.000,85.7,.,.,.,.,.,.,.
22,A A E,643,001,8,3.875,87.5,.,12.5,.,.,.,.,.
0,A F AERO,102,001,15,3.567,60.0,6.7,20.0,13.3,.,.,.,.
1,A F AERO,102,002,10,3.700,60.0,30.0,.,10.0,.,.,.,.
4,A F AERO,202,002,7,3.929,85.7,14.3,.,.,.,.,.,.
6,A F AERO,302,001,8,3.875,75.0,25.0,.,.,.,.,.,.
7,A F AERO,402,001,16,4.000,100.0,.,.,.,.,.,.,.
0,ACCT I S,100,001,35,3.029,28.6,20.0,20.0,14.3,11.4,.,5.7,.
1,ACCT I S,100,002,35,3.071,28.6,17.1,14.3,20.0,20.0,.,.,.
2,ACCT I S,100,003,34,3.147,26.5,11.8,38.2,11.8,11.8,.,.,.
3,ACCT I S,100,004,37,3.153,24.3,21.6,27.0,8.1,16.2,.,.,2.7
4,ACCT I S,100,005,35,3.057,14.3,31.4,20.0,20.0,14.3,.,.,.
5,ACCT I S,100,006,35,3.5,37.1,31.4,25.7,5.7,.,.,.,.
6,ACCT I S,100,007,33,2.864,18.2,18.2,18.2,15.2,27.3,3.0,.,.
7,ACCT I S,100,008,36,3.083,25.0,22.2,22.2,16.7,11.1,.,2.8,.
8,ACCT I S,100,009,34,2.897,17.6,17.6,17.6,26.5,17.6,2.9,.,.
9,ACCT I S,100,010,35,3.057,28.6,14.3,25.7,8.6,20.0,2.9,.,.
10,ACCT I S,100,011,37,2.878,18.9,27.0,21.6,8.1,16.2,.,8.1,.
11,ACCT I S,100,012,35,2.843,14.3,14.3,28.6,22.9,17.1,.,2.9,.
12,ACCT I S,100,014,33,2.485,6.1,3.0,27.3,27.3,27.3,9.1,.,.
13,ACCT I S,100,015,35,2.771,20.0,11.4,14.3,28.6,20.0,2.9,2.9,.
15,ACCT I S,211,001,28,2.786,35.7,3.6,14.3,10.7,25.0,3.6,7.1,.
16,ACCT I S,211,002,14,2.357,7.1,.,28.6,14.3,42.9,.,7.1,.
17,ACCT I S,211,003,32,3.047,21.9,12.5,34.4,15.6,15.6,.,.,.
18,ACCT I S,211,004,33,3.152,30.3,6.1,42.4,6.1,15.2,.,.,.
19,ACCT I S,211,005,31,2.867,12.9,9.7,48.4,9.7,9.7,3.2,3.2,.
20,ACCT I S,211,006,32,2.984,18.8,6.3,50.0,3.1,15.6,3.1,.,3.1
21,ACCT I S,211,007,28,3.018,17.9,10.7,42.9,14.3,14.3,.,.,.
22,ACCT I S,211,008,26,2.635,7.7,7.7,30.8,26.9,19.2,7.7,.,.
23,ACCT I S,211,009,30,2.967,10.0,13.3,50.0,13.3,13.3,.,.,.
24,ACCT I S,211,010,27,3.056,18.5,11.1,48.1,7.4,14.8,.,.,.
25,ACCT I S,211,011,32,2.859,12.5,9.4,43.8,6.3,28.1,.,.,.
26,ACCT I S,211,012,27,3.074,18.5,18.5,37.0,11.1,14.8,.,.,.
27,ACCT I S,211,013,30,3.083,30.0,16.7,26.7,6.7,13.3,6.7,.,.
29,ACCT I S,300,001,152,3.225,27.0,28.9,19.1,18.4,2.6,2.6,0.7,.
30,ACCT I S,300,002,44,3.398,34.1,29.5,18.2,18.2,.,.,.,.
31,ACCT I S,300,003,32,3.344,25.0,31.3,31.3,12.5,.,.,.,.
32,ACCT I S,300,004,41,3.39,39.0,22.0,24.4,12.2,.,2.4,.,.
34,ACCT I S,301,001,28,3.179,14.3,28.6,42.9,7.1,7.1,.,.,.
35,ACCT I S,301,002,33,3.242,36.4,12.1,27.3,12.1,12.1,.,.,.
36,ACCT I S,301,003,35,3.057,22.9,8.6,42.9,14.3,8.6,2.9,.,.
37,ACCT I S,301,004,39,3.385,43.6,15.4,20.5,15.4,5.1,.,.,.
38,ACCT I S,301,005,17,3.412,47.1,5.9,35.3,5.9,5.9,.,.,.
39,ACCT I S,301,006,34,3.25,20.6,32.4,29.4,11.8,5.9,.,.,.
40,ACCT I S,301,007,28,3.089,32.1,14.3,21.4,17.9,7.1,7.1,.,.
41,ACCT I S,301,008,35,3.257,28.6,28.6,28.6,5.7,2.9,5.7,.,.
0,ACCT I S,302,001,12,3.545,41.7,25.0,16.7,8.3,.,.,.,.
1,ACCT I S,302,002,31,3.306,32.3,19.4,29.0,16.1,3.2,.,.,.
2,ACCT I S,302,003,30,3.200,23.3,13.3,53.3,6.7,.,3.3,.,.
4,ACCT I S,310,001,25,3.360,32.0,16.0,44.0,8.0,.,.,.,.
5,ACCT I S,310,002,24,3.438,37.5,25.0,25.0,12.5,.,.,.,.
6,ACCT I S,310,003,27,3.222,29.6,18.5,18.5,33.3,.,.,.,.
8,ACCT I S,329,001,50,3.620,46.0,34.0,18.0,2.0,.,.,.,.
9,ACCT I S,329,002,55,3.545,43.6,29.1,23.6,.,3.6,.,.,.
11,ACCT I S,406,001,22,3.068,18.2,9.1,54.5,4.5,13.6,.,.,.
12,ACCT I S,406,002,19,3.421,31.6,21.1,47.4,.,.,.,.,.
14,ACCT I S,600,001,54,3.949,88.9,7.4,1.9,.,.,.,.,.
15,ACCT I S,601,001,53,3.698,52.8,34.0,13.2,.,.,.,.,.
16,ACCT I S,620,001,34,3.324,17.6,44.1,26.5,8.8,2.9,.,.,.
17,ACCT I S,620,002,39,3.269,17.9,41.0,28.2,2.6,10.3,.,.,.
19,ACCT I S,621,001,8,3.313,25.0,25.0,37.5,12.5,.,.,.,.
20,ACCT I S,621,002,19,3.342,36.8,15.8,36.8,.,10.5,.,.,.
22,ACCT I S,630,001,29,3.741,72.4,13.8,3.4,10.3,.,.,.,.
23,ACCT I S,630,002,21,3.548,47.6,28.6,9.5,14.3,.,.,.,.
25,ACCT I S,640,001,24,3.896,83.3,12.5,4.2,.,.,.,.,.
26,ACCT I S,640,002,18,3.972,94.4,5.6,.,.,.,.,.,.
4,ACT SCI,303,001,17,3.059,35.3,17.6,11.8,5.9,23.5,5.9,.,.
5,ACT SCI,303,002,24,3.167,20.8,29.2,29.2,12.5,4.2,4.2,.,.
7,ACT SCI,365,002,21,3.810,90.5,.,.,.,9.5,.,.,.
8,ACT SCI,650,001,45,3.023,22.2,22.2,20.0,17.8,6.7,4.4,2.2,.
9,ACT SCI,651,001,19,3.412,31.6,26.3,15.8,15.8,.,.,.,5.3
10,ACT SCI,652,001,22,3.286,31.8,27.3,22.7,.,9.1,4.5,.,.
11,ACT SCI,653,001,14,3.107,35.7,.,28.6,21.4,14.3,.,.,.
12,ACT SCI,655,001,18,3.389,44.4,22.2,16.7,.,16.7,.,.,.
13,ACT SCI,657,001,20,3.625,40.0,45.0,15.0,.,.,.,.,.
0,AFRICAN,100,002,23,3.804,69.6,21.7,8.7,.,.,.,.,.
1,AFRICAN,201,001,92,3.837,79.3,12.0,3.3,.,1.1,.,1.1,.
2,AFRICAN,202,001,22,3.455,40.9,36.4,18.2,.,.,.,4.5,.
3,AFRICAN,204,001,22,3.614,50.0,31.8,13.6,.,4.5,.,.,.
4,AFRICAN,210,001,21,3.941,71.4,9.5,.,.,.,.,.,19.0
5,AFRICAN,210,002,27,3.870,77.8,18.5,3.7,.,.,.,.,.
